Limit	Thresh.	Prec.	Rec.	F1
8	0.55	0.7909	0.7909	0.7909
8	0.60	0.6977	0.6977	0.6977
8	0.65	0.6121	0.6121	0.6121
8	0.70	0.5416	0.5416	0.5416
8	0.75	0.4509	0.4509	0.4509
8	0.80	0.3249	0.3249	0.3249
8	0.85	0.1914	0.1914	0.1914
8	0.90	0.0428	0.0428	0.0428
8	0.95	0.0000	0.0000	0.0000
9	0.00	0.9597	0.9597	0.9597
9	0.05	0.9597	0.9597	0.9597
9	0.10	0.9572	0.9572	0.9572
9	0.15	0.9572	0.9572	0.9572
9	0.20	0.9572	0.9572	0.9572
9	0.25	0.9572	0.9572	0.9572
9	0.30	0.9547	0.9547	0.9547
9	0.35	0.9471	0.9471	0.9471
9	0.40	0.9345	0.9345	0.9345
9	0.45	0.8992	0.8992	0.8992
9	0.50	0.8338	0.8338	0.8338
9	0.55	0.7909	0.7909	0.7909
9	0.60	0.6977	0.6977	0.6977
9	0.65	0.6121	0.6121	0.6121
9	0.70	0.5416	0.5416	0.5416
9	0.75	0.4509	0.4509	0.4509
9	0.80	0.3249	0.3249	0.3249
9	0.85	0.1914	0.1914	0.1914
9	0.90	0.0428	0.0428	0.0428
9	0.95	0.0000	0.0000	0.0000
10	0.00	0.9597	0.9597	0.9597
10	0.05	0.9597	0.9597	0.9597
10	0.10	0.9572	0.9572	0.9572
10	0.15	0.9572	0.9572	0.9572
10	0.20	0.9572	0.9572	0.9572
10	0.25	0.9572	0.9572	0.9572
10	0.30	0.9547	0.9547	0.9547
10	0.35	0.9471	0.9471	0.9471
10	0.40	0.9345	0.9345	0.9345
10	0.45	0.8992	0.8992	0.8992
10	0.50	0.8338	0.8338	0.8338
10	0.55	0.7909	0.7909	0.7909
10	0.60	0.6977	0.6977	0.6977
10	0.65	0.6121	0.6121	0.6121
10	0.70	0.5416	0.5416	0.5416
10	0.75	0.4509	0.4509	0.4509
10	0.80	0.3249	0.3249	0.3249
10	0.85	0.1914	0.1914	0.1914
10	0.90	0.0428	0.0428	0.0428
10	0.95	0.0000	0.0000	0.0000
11	0.00	0.9597	0.9597	0.9597
11	0.05	0.9597	0.9597	0.9597
11	0.10	0.9572	0.9572	0.9572
11	0.15	0.9572	0.9572	0.9572
11	0.20	0.9572	0.9572	0.9572
11	0.25	0.9572	0.9572	0.9572
11	0.30	0.9547	0.9547	0.9547
11	0.35	0.9471	0.9471	0.9471
11	0.40	0.9345	0.9345	0.9345
11	0.45	0.8992	0.8992	0.8992
11	0.50	0.8338	0.8338	0.8338
11	0.55	0.7909	0.7909	0.7909
11	0.60	0.6977	0.6977	0.6977
11	0.65	0.6121	0.6121	0.6121
11	0.70	0.5416	0.5416	0.5416
11	0.75	0.4509	0.4509	0.4509
11	0.80	0.3249	0.3249	0.3249
11	0.85	0.1914	0.1914	0.1914
11	0.90	0.0428	0.0428	0.0428
11	0.95	0.0000	0.0000	0.0000
12	0.00	0.9597	0.9597	0.9597
12	0.05	0.9597	0.9597	0.9597
12	0.10	0.9572	0.9572	0.9572
12	0.15	0.9572	0.9572	0.9572
12	0.20	0.9572	0.9572	0.9572
12	0.25	0.9572	0.9572	0.9572
12	0.30	0.9547	0.9547	0.9547
12	0.35	0.9471	0.9471	0.9471
12	0.40	0.9345	0.9345	0.9345
12	0.45	0.8992	0.8992	0.8992
12	0.50	0.8338	0.8338	0.8338
12	0.55	0.7909	0.7909	0.7909
12	0.60	0.6977	0.6977	0.6977
12	0.65	0.6121	0.6121	0.6121
12	0.70	0.5416	0.5416	0.5416
12	0.75	0.4509	0.4509	0.4509
12	0.80	0.3249	0.3249	0.3249
12	0.85	0.1914	0.1914	0.1914
12	0.90	0.0428	0.0428	0.0428
